LEA,District,In-District FTE Pupils,Out-of-District FTE Pupils,Total FTE Pupils,Administration,Instructional Leadership,Teachers,Other Teaching Services,Professional Development,"Instructional Materials, Equipment and Technology","Guidance, Counseling and Testing",Pupil Services,Operations and Maintenance,"Insurance, Retirement Programs and Other","Total
In-District Expenditures",Instructional Services,Total Expenditures,year
0043,Brimfield,305,14.9,319.9,649.5836066,657.8196721,6615.632787,1767.101639,52.06885246,663.3442623,333.5639344,1186.563934,1047.714754,1454.213115,14427.60656,10089.53115,15590.42201,2020-21
0044,Brockton,16024.8,1645.9,17670.7,532.1733494,935.7229619,6290.720972,1093.856154,64.37904935,547.5864785,608.4958539,1640.111697,833.1508836,2902.263423,15448.46082,9540.76147,15534.72689,2020-21
0045,Brookfield,311.4,9.4,320.8,659.1104689,738.4007707,5666.62492,1678.285164,71.70520231,271.5895954,323.6897881,1064.364162,1120.378934,1677.909441,13272.05845,8750.29544,13929.48878,2020-21
0046,Brookline,7830.7,74.9,7905.6,728.9693131,1483.792637,8487.842083,2291.099008,144.9171849,414.3752155,694.8111918,983.4949621,1584.76458,3773.288212,20587.35439,13516.83732,21255.57111,2020-21
0048,Burlington,3517.4,107.8,3625.2,760.8846108,1583.897765,8858.596406,1674.122079,67.13111958,804.1337351,655.5575141,1468.547484,1371.455905,3549.095639,20793.42226,13643.43862,22799.7141,2020-21
0049,Cambridge,7104.4,664.2,7768.6,1243.146708,1939.202083,9642.335379,2844.64292,835.2403018,944.5759755,1065.262899,2565.626636,1912.0889,5957.462955,28949.58476,17271.25956,31146.3664,2020-21
0050,Canton,3294.3,80.5,3374.8,489.0204292,1099.913487,6589.289075,1270.864827,96.28236651,370.4112558,782.6992077,1471.889628,1057.654433,3029.96327,16257.98798,10209.46022,18090.16765,2020-21
0051,Carlisle,602.3,15,617.3,960.7170015,937.9693508,9527.996314,2968.239814,75.67773535,403.8568487,544.8958492,1340.714478,1837.604201,1039.875112,19637.5467,14458.63591,20709.00697,2020-21
0052,Carver,1584.5,94.5,1679,406.4367308,878.6279583,5711.978921,1098.650678,188.7163143,384.1199116,573.8977595,1328.47586,1023.627643,3179.643421,14774.1752,8835.991543,15692.52686,2020-21
0056,Chelmsford,5035,222.9,5257.9,443.2740814,934.0902701,5953.412711,1160.249454,29.07543595,829.5085184,430.983714,1345.792604,1005.248858,2489.10566,14620.74131,9337.320103,15658.94777,2020-21
0057,Chelsea,6257.4,1168.4,7425.8,588.3751977,1172.553009,4886.980386,947.1245805,602.5671972,575.5973663,479.1954534,1578.93507,1536.807138,2862.088671,15230.22407,8664.017993,16847.43116,2020-21
