district_name,district_code,churn_intake_enroll,percent_churn,percent_intake,stability_enroll,percent_stability,year
Malden,01650000,"7,147",18.5,13.6,"6,605",88.4,2017-18
Manchester Essex Regional,06980000,"1,395",2.2,0.4,"1,392",98.1,2017-18
Mansfield,01670000,"3,971",4.6,2.8,"3,878",97.7,2017-18
Marblehead,01680000,"3,178",4.6,2.8,"3,104",97.7,2017-18
Marblehead Community Charter Public (District),04640000,236,5.1,2.5,230,97.4,2017-18
Marion,01690000,464,3.9,2.4,457,97.6,2017-18
Marlborough,01700000,"4,965",14.4,9.5,"4,591",93.0,2017-18
Marshfield,01710000,"4,252",3.9,2.3,"4,188",97.7,2017-18
Martha's Vineyard,07000000,662,8.3,5.0,637,95.3,2017-18
Martha's Vineyard Charter (District),04660000,186,2.2,1.6,184,98.9,2017-18
Martin Luther King Jr. Charter School of Excellence (District),04920000,377,9.0,4.2,368,93.2,2017-18
Masconomet,07050000,"1,811",1.7,0.9,"1,797",99.1,2017-18
Mashpee,01720000,"1,704",7.1,3.8,"1,653",95.8,2017-18
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,759,41.5,26.7,606,73.3,2017-18
MATCH Charter Public School (District),04690000,"1,251",9.3,6.3,"1,229",92.4,2017-18
Mattapoisett,01730000,458,8.5,6.3,443,94.6,2017-18
Maynard,01740000,"1,438",6.4,3.1,"1,409",95.5,2017-18
Medfield,01750000,"2,660",4.3,3.5,"2,635",96.6,2017-18
Medford,01760000,"4,598",10.8,6.8,"4,371",94.3,2017-18
Medway,01770000,"2,317",3.3,2.3,"2,276",98.5,2017-18
Melrose,01780000,"3,990",3.9,2.1,"3,921",97.9,2017-18
Mendon-Upton,07100000,"2,306",4.0,2.5,"2,269",97.7,2017-18
Methuen,01810000,"7,299",10.8,7.3,"6,969",93.9,2017-18
Middleborough,01820000,"3,081",8.2,5.4,"2,975",95.1,2017-18
Middleton,01840000,702,4.4,2.7,690,97.2,2017-18
Milford,01850000,"4,460",11.7,8.4,"4,192",94.0,2017-18
Millbury,01860000,"1,802",9.1,5.7,"1,758",93.2,2017-18
Millis,01870000,"1,323",4.2,2.6,"1,304",97.2,2017-18
Milton,01890000,"4,295",4.4,2.8,"4,212",97.5,2017-18
Minuteman Regional Vocational Technical,08300000,547,6.2,2.6,538,95.4,2017-18
Mohawk Trail,07170000,966,7.8,4.9,931,95.8,2017-18
Monomoy Regional School District,07120000,"1,945",8.0,5.6,"1,881",95.1,2017-18
Monson,01910000,974,7.7,4.6,936,96.0,2017-18
Montachusett Regional Vocational Technical,08320000,"1,440",4.9,1.3,"1,434",95.5,2017-18
Mount Greylock,07150000,544,3.7,1.7,537,97.6,2017-18
Mystic Valley Regional Charter (District),04700000,"1,586",4.2,2.2,"1,574",96.6,2017-18
Nahant,01960000,156,10.9,6.4,147,94.6,2017-18
Nantucket,01970000,"1,703",10.1,6.4,"1,632",93.8,2017-18
Narragansett,07200000,"1,484",4.4,0.8,"1,475",96.2,2017-18
Nashoba,07250000,"3,403",5.3,3.4,"3,354",96.2,2017-18
Nashoba Valley Regional Vocational Technical,08520000,709,5.1,1.8,703,95.7,2017-18
Natick,01980000,"5,627",6.0,4.1,"5,515",96.0,2017-18
Nauset,06600000,"1,533",5.6,3.5,"1,489",97.2,2017-18
Needham,01990000,"5,735",2.8,1.5,"5,670",98.4,2017-18
Neighborhood House Charter (District),04440000,586,16.2,12.6,542,90.6,2017-18
New Bedford,02010000,"13,631",16.5,9.7,"12,684",91.7,2017-18
New Heights Charter School of Brockton (District),35130000,474,24.7,13.3,450,79.3,2017-18
New Salem-Wendell,07280000,161,5.6,4.3,155,98.1,2017-18
Newburyport,02040000,"2,320",5.0,2.9,"2,277",96.8,2017-18
Newton,02070000,"13,278",5.2,3.1,"12,961",97.2,2017-18
Norfolk,02080000,977,4.2,2.6,954,98.1,2017-18
Norfolk County Agricultural,09150000,552,3.1,0.0,552,96.9,2017-18
North Adams,02090000,"1,549",17.9,11.2,"1,469",87.2,2017-18
North Andover,02110000,"4,952",5.6,3.9,"4,819",97.0,2017-18
North Attleborough,02120000,"4,434",6.4,3.5,"4,315",96.2,2017-18
North Brookfield,02150000,599,11.9,7.0,563,93.8,2017-18
North Middlesex,07350000,"3,181",7.9,5.0,"3,100",94.7,2017-18
North Reading,02170000,"2,528",3.1,1.5,"2,493",98.4,2017-18
Northampton,02100000,"2,773",7.4,4.4,"2,670",96.4,2017-18
Northampton-Smith Vocational Agricultural,04060000,512,4.9,1.8,505,96.4,2017-18
Northboro-Southboro,07300000,"1,489",3.0,1.3,"1,473",98.0,2017-18
Northborough,02130000,"1,675",4.0,1.8,"1,650",97.6,2017-18
Northbridge,02140000,"2,262",7.9,4.7,"2,180",95.6,2017-18
Northeast Metropolitan Regional Vocational Technical,08530000,"1,261",4.8,1.7,"1,256",95.5,2017-18
Northern Berkshire Regional Vocational Technical,08510000,498,5.0,2.4,488,96.9,2017-18
Norton,02180000,"2,530",4.2,2.1,"2,481",97.8,2017-18
Norwell,02190000,"2,224",3.3,2.3,"2,200",97.8,2017-18
Norwood,02200000,"3,581",9.3,5.7,"3,422",95.1,2017-18
Oak Bluffs,02210000,451,11.1,7.5,431,93.0,2017-18
Old Colony Regional Vocational Technical,08550000,546,5.3,1.8,539,95.9,2017-18
Old Rochester,07400000,"1,280",3.8,1.7,"1,263",97.5,2017-18
Old Sturbridge Academy Charter Public School (District),35150000,163,4.9,1.8,160,96.9,2017-18
Orange,02230000,628,17.4,11.0,602,86.2,2017-18
Orleans,02240000,234,9.4,6.8,224,94.6,2017-18
Oxford,02260000,"1,746",8.1,4.6,"1,687",95.1,2017-18
Palmer,02270000,"1,498",13.0,8.6,"1,409",92.5,2017-18
Pathfinder Regional Vocational Technical,08600000,636,5.8,3.0,617,97.1,2017-18
Paulo Freire Social Justice Charter School (District),35010000,316,20.6,15.2,271,92.6,2017-18
Peabody,02290000,"6,218",9.5,5.5,"5,934",95.3,2017-18
Pelham,02300000,130,6.2,3.8,130,93.8,2017-18
Pembroke,02310000,"2,945",3.5,1.5,"2,908",97.8,2017-18
Pentucket,07450000,"2,523",5.3,3.6,"2,473",96.8,2017-18
Petersham,02340000,116,1.7,0.0,116,98.3,2017-18
Phoenix Academy Public Charter High School Springfield (District),35080000,254,60.2,35.0,206,49.0,2017-18
Phoenix Charter Academy (District),04930000,250,52.4,33.2,205,58.0,2017-18
Pioneer Charter School of Science (District),04940000,697,15.2,11.2,672,87.9,2017-18
Pioneer Charter School of Science II (PCSS-II) (District),35060000,386,12.7,6.0,370,91.1,2017-18
Pioneer Valley,07500000,814,5.9,3.7,799,95.9,2017-18
Pioneer Valley Chinese Immersion Charter (District),04970000,498,0.8,0.0,498,99.2,2017-18
Pioneer Valley Performing Arts Charter Public (District),04790000,414,7.7,3.6,405,94.3,2017-18
Pittsfield,02360000,"5,698",9.6,5.4,"5,476",94.9,2017-18
Plainville,02380000,738,6.8,4.9,708,97.2,2017-18
Plymouth,02390000,"7,746",6.0,3.3,"7,536",97.1,2017-18
Plympton,02400000,209,4.8,1.9,208,95.7,2017-18
Prospect Hill Academy Charter (District),04870000,"1,180",6.4,3.9,"1,147",96.3,2017-18
Provincetown,02420000,132,18.2,10.6,120,90.0,2017-18
Quabbin,07530000,"2,314",7.8,3.6,"2,248",95.1,2017-18
Quaboag Regional,07780000,"1,400",8.6,4.1,"1,359",94.2,2017-18
Quincy,02430000,"9,895",11.9,7.5,"9,423",93.1,2017-18
Ralph C Mahar,07550000,819,11.2,7.3,768,94.9,2017-18
Randolph,02440000,"3,067",17.9,12.2,"2,837",89.2,2017-18
Reading,02460000,"4,262",3.6,2.5,"4,214",97.6,2017-18
Revere,02480000,"8,066",14.4,8.9,"7,611",91.5,2017-18
Richmond,02490000,183,4.4,4.4,179,97.8,2017-18
Rising Tide Charter Public (District),04830000,679,3.7,0.0,679,96.3,2017-18
River Valley Charter (District),04820000,292,2.7,1.0,292,97.3,2017-18
Rochester,02500000,517,5.8,3.9,501,97.2,2017-18
Rockland,02510000,"2,344",11.6,6.9,"2,221",94.5,2017-18
Rockport,02520000,926,2.7,2.6,905,99.6,2017-18
Rowe,02530000,73,6.8,0.0,73,93.2,2017-18
Roxbury Preparatory Charter (District),04840000,"1,516",15.8,7.8,"1,465",87.1,2017-18
Sabis International Charter (District),04410000,"1,615",8.4,5.8,"1,581",93.5,2017-18
Salem,02580000,"4,081",16.1,9.1,"3,799",90.9,2017-18
Salem Academy Charter (District),04850000,482,3.7,1.0,479,96.9,2017-18
Sandwich,02610000,"2,668",5.0,3.0,"2,610",97.1,2017-18
Saugus,02620000,"2,777",10.9,6.3,"2,632",94.0,2017-18
Savoy,02630000,59,18.6,15.3,58,82.8,2017-18
Scituate,02640000,"3,023",2.8,1.5,"2,988",98.4,2017-18
Seekonk,02650000,"2,063",4.8,3.2,"2,007",97.9,2017-18
Seven Hills Charter Public (District),04860000,702,11.3,4.8,683,91.2,2017-18
Sharon,02660000,"3,608",4.0,2.7,"3,544",97.8,2017-18
Shawsheen Valley Regional Vocational Technical,08710000,"1,329",2.7,1.1,"1,327",97.4,2017-18
Sherborn,02690000,434,2.5,1.4,430,98.4,2017-18
Shrewsbury,02710000,"6,420",7.4,5.1,"6,239",95.4,2017-18
Shutesbury,02720000,128,7.0,5.5,123,96.7,2017-18
Silver Hill Horace Mann Charter (District),04770000,569,4.4,1.6,567,95.9,2017-18
Silver Lake,07600000,"1,909",5.5,3.2,"1,856",97.2,2017-18
Sizer School: A North Central Charter Essential (District),04740000,379,16.1,6.1,361,88.1,2017-18
Somerset,02730000,"1,857",6.6,3.9,"1,796",96.8,2017-18
Somerset Berkley Regional School District,07630000,"1,024",4.3,1.9,"1,011",96.9,2017-18
Somerville,02740000,"5,103",12.6,7.9,"4,889",91.9,2017-18
South Hadley,02780000,"1,990",8.8,5.9,"1,907",95.1,2017-18
South Middlesex Regional Vocational Technical,08290000,752,7.4,3.2,738,94.3,2017-18
South Shore Charter Public (District),04880000,954,9.6,5.5,938,91.9,2017-18
South Shore Regional Vocational Technical,08730000,651,3.4,0.5,651,96.6,2017-18
Southampton,02750000,527,5.1,2.8,512,97.7,2017-18
Southborough,02760000,"1,366",8.1,5.9,"1,319",95.2,2017-18
Southbridge,02770000,"2,302",22.5,14.9,"2,023",89.0,2017-18
Southeastern Regional Vocational Technical,08720000,"1,450",4.3,1.9,"1,433",96.8,2017-18
Southern Berkshire,07650000,715,8.0,5.0,690,95.4,2017-18
Southern Worcester County Regional Vocational Technical,08760000,"1,129",3.1,0.0,"1,129",96.9,2017-18
Southwick-Tolland-Granville Regional School District,07660000,"1,561",5.4,3.3,"1,522",97.0,2017-18
Spencer-E Brookfield,07670000,"1,507",14.3,10.2,"1,375",94.0,2017-18
Springfield,02810000,"28,226",21.4,12.8,"26,055",87.7,2017-18
Springfield Preparatory Charter School (District),35100000,224,11.2,6.7,218,91.3,2017-18
Stoneham,02840000,"2,420",7.4,5.2,"2,349",95.5,2017-18
Stoughton,02850000,"3,741",9.7,6.0,"3,596",94.2,2017-18
Sturbridge,02870000,928,6.5,4.4,906,95.8,2017-18
Sturgis Charter Public (District),04890000,850,7.2,3.5,829,95.2,2017-18
Sudbury,02880000,"2,735",2.9,1.6,"2,700",98.6,2017-18
Sunderland,02890000,247,10.5,6.5,237,93.2,2017-18
Sutton,02900000,"1,442",3.5,1.5,"1,425",97.6,2017-18
Swampscott,02910000,"2,274",5.5,3.3,"2,213",97.2,2017-18
Swansea,02920000,"2,144",5.8,3.2,"2,090",96.8,2017-18
Tantasqua,07700000,"1,828",5.4,1.7,"1,805",96.5,2017-18
Taunton,02930000,"8,562",11.5,6.4,"8,123",94.5,2017-18
TEC Connections Academy Commonwealth Virtual School District,39020000,"2,303",55.8,40.6,"1,647",61.8,2017-18
Tewksbury,02950000,"3,598",6.1,3.8,"3,487",97.0,2017-18
Tisbury,02960000,327,11.6,8.3,306,94.4,2017-18
Topsfield,02980000,645,2.9,2.6,632,99.1,2017-18
Tri-County Regional Vocational Technical,08780000,999,4.0,1.1,990,96.9,2017-18
Triton,07730000,"2,642",5.5,2.3,"2,590",96.4,2017-18
Truro,03000000,110,9.1,6.4,105,95.2,2017-18
Tyngsborough,03010000,"1,738",4.3,2.9,"1,693",98.2,2017-18
UP Academy Charter School of Boston (District),04800000,554,22.4,18.6,507,84.8,2017-18
UP Academy Charter School of Dorchester (District),35050000,779,14.0,9.2,759,88.3,2017-18
Up-Island Regional,07740000,423,12.8,9.0,407,90.7,2017-18
Upper Cape Cod Regional Vocational Technical,08790000,722,4.3,0.4,720,96.0,2017-18
Uxbridge,03040000,"1,842",7.9,5.2,"1,783",95.2,2017-18
Veritas Preparatory Charter School (District),04980000,334,12.6,5.7,332,88.0,2017-18
Wachusett,07750000,"7,371",4.2,2.6,"7,261",97.3,2017-18
Wakefield,03050000,"3,584",4.8,3.5,"3,508",97.3,2017-18
Wales,03060000,169,10.1,4.7,161,94.4,2017-18
Walpole,03070000,"3,872",3.9,2.2,"3,807",97.9,2017-18
Waltham,03080000,"5,906",12.0,7.4,"5,639",92.5,2017-18
Ware,03090000,"1,296",13.1,8.1,"1,225",91.9,2017-18
Wareham,03100000,"2,468",12.5,6.9,"2,334",92.7,2017-18
Watertown,03140000,"2,727",9.6,5.6,"2,629",93.9,2017-18
Wayland,03150000,"2,746",2.0,1.6,"2,704",99.6,2017-18
Webster,03160000,"2,015",15.8,8.7,"1,870",90.7,2017-18
Wellesley,03170000,"5,099",3.3,1.8,"5,031",98.1,2017-18
Wellfleet,03180000,125,12.0,8.8,116,94.8,2017-18
West Boylston,03220000,943,7.0,4.0,908,96.6,2017-18
West Bridgewater,03230000,"1,325",3.6,1.8,"1,306",97.8,2017-18
West Springfield,03320000,"4,448",13.6,9.6,"4,133",93.6,2017-18
Westborough,03210000,"4,114",8.9,5.3,"3,937",95.3,2017-18
Westfield,03250000,"5,713",8.9,4.2,"5,521",94.8,2017-18
Westford,03260000,"5,156",3.2,2.4,"5,073",98.5,2017-18
Westhampton,03270000,124,4.0,3.2,121,98.3,2017-18
Weston,03300000,"2,137",2.9,2.2,"2,105",98.6,2017-18
Westport,03310000,"1,468",5.2,3.1,"1,431",97.3,2017-18
Westwood,03350000,"3,165",2.1,1.6,"3,122",99.3,2017-18
Weymouth,03360000,"6,277",10.8,6.9,"6,051",92.8,2017-18
Whately,03370000,144,9.0,5.6,140,93.6,2017-18
Whitman-Hanson,07800000,"3,995",5.8,3.8,"3,910",96.4,2017-18
Whittier Regional Vocational Technical,08850000,"1,270",2.9,0.8,"1,260",97.9,2017-18
Williamsburg,03400000,168,4.8,3.6,163,98.2,2017-18
Williamstown,03410000,465,3.9,2.4,459,97.4,2017-18
Wilmington,03420000,"3,404",3.8,2.1,"3,343",98.0,2017-18
Winchendon,03430000,"1,343",10.1,6.1,"1,293",93.4,2017-18
Winchester,03440000,"4,725",2.5,1.3,"4,678",98.6,2017-18
Winthrop,03460000,"2,102",9.7,4.7,"2,033",93.4,2017-18
Woburn,03470000,"4,772",8.6,5.0,"4,612",95.0,2017-18
Worcester,03480000,"27,665",17.1,9.6,"25,700",91.4,2017-18
Worthington,03490000,67,13.4,10.4,62,93.5,2017-18
Wrentham,03500000,"1,067",5.8,5.0,"1,047",96.0,2017-18
Abby Kelley Foster Charter Public (District),04450000,"1,438",2.3,1.5,"1,431",98.2,2016-17
Abington,00010000,"2,013",7.8,5.0,"1,931",96.1,2016-17
Academy Of the Pacific Rim Charter Public (District),04120000,531,5.5,2.6,527,95.3,2016-17
Acton-Boxborough,06000000,"5,708",4.0,2.4,"5,588",98.1,2016-17
Acushnet,00030000,983,4.0,2.8,961,98.2,2016-17
Adams-Cheshire,06030000,"1,394",10.5,5.0,"1,338",93.2,2016-17
Advanced Math and Science Academy Charter (District),04300000,990,6.4,4.7,956,97.0,2016-17
Agawam,00050000,"4,099",7.5,4.3,"3,951",96.1,2016-17
Alma del Mar Charter School (District),04090000,326,3.1,1.2,325,97.2,2016-17
Amesbury,00070000,"2,241",6.4,3.3,"2,183",96.5,2016-17
Amherst,00080000,"1,231",14.9,9.2,"1,161",90.4,2016-17
Amherst-Pelham,06050000,"1,413",6.7,3.8,"1,373",96.0,2016-17
Andover,00090000,"6,164",4.4,2.7,"6,033",97.7,2016-17
Argosy Collegiate Charter School (District),35090000,322,12.1,7.5,309,91.6,2016-17
Arlington,00100000,"5,713",6.3,3.7,"5,537",96.7,2016-17
Ashburnham-Westminster,06100000,"2,398",4.0,2.3,"2,348",98.1,2016-17
Ashland,00140000,"2,773",5.1,2.9,"2,708",97.2,2016-17
Assabet Valley Regional Vocational Technical,08010000,"1,115",3.1,1.4,"1,107",97.6,2016-17
Athol-Royalston,06150000,"1,580",13.4,8.0,"1,479",92.6,2016-17
Atlantis Charter (District),04910000,"1,128",5.7,2.7,"1,111",95.8,2016-17
Attleboro,00160000,"6,164",9.4,5.6,"5,948",94.6,2016-17
Auburn,00170000,"2,587",7.0,5.1,"2,525",95.3,2016-17
Avon,00180000,738,6.2,3.7,720,96.1,2016-17
Ayer Shirley School District,06160000,"1,788",10.5,5.6,"1,725",92.8,2016-17
Barnstable,00200000,"5,261",11.8,7.7,"4,993",93.1,2016-17
Barnstable Community Horace Mann Charter Public (District),04270000,295,6.4,2.0,290,95.2,2016-17
Baystate Academy Charter Public School (District),35020000,413,10.7,4.8,401,92.0,2016-17
Bedford,00230000,"2,687",5.6,3.5,"2,614",97.1,2016-17
Belchertown,00240000,"2,417",5.1,3.0,"2,362",97.1,2016-17
Bellingham,00250000,"2,338",5.6,2.9,"2,283",96.9,2016-17
Belmont,00260000,"4,586",5.1,3.2,"4,474",97.3,2016-17
Benjamin Banneker Charter Public (District),04200000,354,10.2,8.5,348,91.4,2016-17
Benjamin Franklin Classical Charter Public (District),04470000,455,4.2,1.3,450,96.9,2016-17
Bentley Academy Charter School (District),35110000,273,18.3,11.0,270,82.6,2016-17
Berkley,00270000,945,3.1,2.0,931,98.4,2016-17
Berkshire Arts and Technology Charter Public (District),04140000,360,8.9,2.2,356,92.1,2016-17
Berkshire Hills,06180000,"1,321",6.5,2.7,"1,294",95.4,2016-17
Berlin,00280000,198,5.6,3.0,192,97.4,2016-17
Berlin-Boylston,06200000,595,3.5,3.0,584,98.3,2016-17
Beverly,00300000,"4,688",7.3,4.5,"4,535",96.0,2016-17
Billerica,00310000,"5,037",7.1,4.2,"4,940",94.9,2016-17
Blackstone Valley Regional Vocational Technical,08050000,"1,209",1.3,0.2,"1,209",98.7,2016-17
Blackstone-Millville,06220000,"1,814",7.6,3.9,"1,760",95.3,2016-17
Blue Hills Regional Vocational Technical,08060000,876,3.1,0.6,875,97.0,2016-17
Boston,00350000,"58,116",18.8,13.2,"53,741",89.8,2016-17
Boston Collegiate Charter (District),04490000,692,5.6,2.2,686,95.2,2016-17
Boston Day and Evening Academy Charter (District),04240000,505,45.5,23.8,429,64.1,2016-17
Boston Green Academy Horace Mann Charter School (District),04110000,550,17.6,2.9,547,82.8,2016-17
Boston Preparatory Charter Public (District),04160000,422,5.9,2.6,416,95.4,2016-17
Boston Renaissance Charter Public (District),04810000,965,5.3,3.0,961,95.1,2016-17
Bourne,00360000,"2,029",9.9,6.2,"1,944",94.2,2016-17
Boxford,00380000,767,2.6,1.6,758,98.5,2016-17
Boylston,00390000,311,9.6,8.0,293,95.9,2016-17
Braintree,00400000,"5,983",5.6,3.4,"5,815",97.2,2016-17
Brewster,00410000,510,5.9,3.5,496,96.8,2016-17
Bridge Boston Charter School (District),04170000,276,5.4,3.3,269,97.0,2016-17
Bridgewater-Raynham,06250000,"5,528",7.7,5.7,"5,370",95.2,2016-17
Brimfield,00430000,300,7.0,4.3,288,96.9,2016-17
Bristol County Agricultural,09100000,468,3.4,0.0,468,96.6,2016-17
Bristol-Plymouth Regional Vocational Technical,08100000,"1,318",4.0,0.6,"1,316",96.1,2016-17
Brockton,00440000,"18,048",14.7,9.3,"17,056",91.8,2016-17
Brooke Charter School (District),04280000,"1,653",4.5,2.0,"1,637",96.5,2016-17
Brookfield,00450000,340,8.8,6.5,320,96.9,2016-17
Brookline,00460000,"8,026",9.3,5.7,"7,730",94.4,2016-17
Burlington,00480000,"3,630",6.5,4.5,"3,533",96.2,2016-17
Cambridge,00490000,"7,137",10.2,6.4,"6,808",94.5,2016-17
Canton,00500000,"3,405",5.3,3.3,"3,333",96.7,2016-17
Cape Cod Lighthouse Charter (District),04320000,246,2.4,1.2,243,98.8,2016-17
Cape Cod Regional Vocational Technical,08150000,645,9.1,3.4,627,93.5,2016-17
Carlisle,00510000,596,2.5,1.3,590,98.5,2016-17
Carver,00520000,"1,678",6.5,3.0,"1,639",95.7,2016-17
Central Berkshire,06350000,"1,655",5.1,2.7,"1,623",97.0,2016-17
Chelmsford,00560000,"5,148",5.8,3.2,"5,001",97.2,2016-17
Chelsea,00570000,"7,022",18.6,10.6,"6,519",87.8,2016-17
Chesterfield-Goshen,06320000,146,5.5,3.4,141,97.9,2016-17
Chicopee,00610000,"8,112",12.1,6.3,"7,726",93.1,2016-17
Christa McAuliffe Charter Public (District),04180000,402,4.0,2.2,397,97.2,2016-17
City on a Hill Charter Public School Circuit Street (District),04370000,285,8.1,2.8,282,92.9,2016-17
City on a Hill Charter Public School Dudley Square (District),35040000,287,10.8,3.1,283,90.5,2016-17
City on a Hill Charter Public School New Bedford (District),35070000,201,24.9,11.9,182,83.0,2016-17
Clarksburg,00630000,178,4.5,3.4,172,98.8,2016-17
Clinton,00640000,"1,991",10.4,6.0,"1,894",94.2,2016-17
Codman Academy Charter Public (District),04380000,365,8.2,4.4,361,92.8,2016-17
Cohasset,00650000,"1,602",1.6,1.1,"1,587",99.4,2016-17
Collegiate Charter School of Lowell (District),35030000,661,10.0,5.0,646,92.1,2016-17
Community Charter School of Cambridge (District),04360000,375,2.4,0.0,375,97.6,2016-17
Community Day Charter Public School - Gateway (District),04260000,282,1.4,0.7,281,98.9,2016-17
Community Day Charter Public School - Prospect (District),04400000,402,1.0,0.5,400,99.5,2016-17
Community Day Charter Public School - R. Kingman Webster (District),04310000,283,2.8,1.8,282,97.5,2016-17
Concord,00670000,"2,160",3.4,2.3,"2,112",98.8,2016-17
Concord-Carlisle,06400000,"1,291",2.0,0.9,"1,281",98.8,2016-17
Conservatory Lab Charter (District),04390000,477,18.7,10.9,470,82.6,2016-17
Conway,00680000,147,6.8,4.1,143,95.8,2016-17
Danvers,00710000,"3,613",5.3,3.0,"3,514",97.4,2016-17
Dartmouth,00720000,"3,725",4.0,1.8,"3,666",97.6,2016-17
Dedham,00730000,"2,768",6.1,4.8,"2,695",96.4,2016-17
Deerfield,00740000,413,3.9,2.9,404,98.3,2016-17
Dennis-Yarmouth,06450000,"3,219",11.6,7.4,"3,047",94.0,2016-17
Dighton-Rehoboth,06500000,"2,967",3.9,1.9,"2,924",97.5,2016-17
Douglas,00770000,"1,421",6.3,3.2,"1,399",95.1,2016-17
Dover,00780000,502,4.8,3.6,484,98.8,2016-17
Dover-Sherborn,06550000,"1,185",1.8,0.8,"1,178",98.8,2016-17
Dracut,00790000,"3,647",7.3,5.0,"3,503",96.7,2016-17
Dudley Street Neighborhood Charter School (District),04070000,294,6.5,4.1,289,95.2,2016-17
Dudley-Charlton Reg,06580000,"4,072",5.2,2.9,"3,968",97.3,2016-17
Duxbury,00820000,"3,175",3.1,2.3,"3,130",98.3,2016-17
East Bridgewater,00830000,"2,358",4.1,2.9,"2,302",98.3,2016-17
East Longmeadow,00870000,"2,677",3.7,2.1,"2,636",97.8,2016-17
Eastham,00850000,189,5.8,4.2,184,96.7,2016-17
Easthampton,00860000,"1,606",9.4,5.7,"1,573",92.5,2016-17
Easton,00880000,"3,821",3.8,2.6,"3,759",97.9,2016-17
Edgartown,00890000,372,12.1,9.1,349,93.7,2016-17
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,371,5.9,3.0,365,95.6,2016-17
Erving,00910000,144,20.8,20.1,136,83.8,2016-17
Essex North Shore Agricultural and Technical School District,08170000,"1,313",3.6,0.8,"1,312",96.5,2016-17
Everett,00930000,"7,922",20.0,11.3,"7,330",87.2,2016-17
Excel Academy Charter (District),04100000,971,3.1,1.9,961,97.9,2016-17
Fairhaven,00940000,"2,093",6.5,3.9,"2,028",96.6,2016-17
Fall River,00950000,"10,965",16.8,9.1,"10,223",91.0,2016-17
Falmouth,00960000,"3,586",7.6,4.2,"3,480",95.4,2016-17
Farmington River Reg,06620000,124,9.7,7.3,116,96.6,2016-17
Fitchburg,00970000,"5,771",18.9,11.6,"5,332",88.9,2016-17
Florida,00980000,88,11.4,8.0,84,92.9,2016-17
Four Rivers Charter Public (District),04130000,224,4.0,1.8,221,97.3,2016-17
Foxborough,00990000,"2,674",4.3,2.9,"2,608",98.2,2016-17
Foxborough Regional Charter (District),04460000,"1,282",4.9,2.9,"1,264",96.4,2016-17
Framingham,01000000,"9,126",11.5,7.3,"8,674",93.5,2016-17
Francis W. Parker Charter Essential (District),04780000,405,6.7,3.2,399,94.7,2016-17
Franklin,01010000,"5,512",4.0,2.2,"5,423",97.8,2016-17
Franklin County Regional Vocational Technical,08180000,492,4.9,0.4,492,95.1,2016-17
Freetown-Lakeville,06650000,"2,817",4.5,2.4,"2,763",97.4,2016-17
Frontier,06700000,624,5.6,2.2,612,96.2,2016-17
Gardner,01030000,"2,562",14.1,8.1,"2,403",91.7,2016-17
Gateway,06720000,872,9.7,5.7,839,94.3,2016-17
Georgetown,01050000,"1,482",3.6,2.0,"1,454",98.2,2016-17
Gill-Montague,06740000,"1,000",9.2,5.0,958,94.9,2016-17
Global Learning Charter Public (District),04960000,512,5.3,2.0,512,94.7,2016-17
Gloucester,01070000,"3,034",6.6,4.8,"2,933",96.7,2016-17
Grafton,01100000,"3,279",5.1,3.1,"3,203",97.2,2016-17
Granby,01110000,768,5.5,2.5,756,96.0,2016-17
Greater Fall River Regional Vocational Technical,08210000,"1,413",5.0,1.8,"1,408",95.3,2016-17
Greater Lawrence Regional Vocational Technical,08230000,"1,481",4.1,0.6,"1,475",96.3,2016-17
Greater Lowell Regional Vocational Technical,08280000,"2,216",5.2,1.9,"2,195",95.7,2016-17
Greater New Bedford Regional Vocational Technical,08250000,"2,166",3.2,0.4,"2,166",96.8,2016-17
Greenfield,01140000,"1,789",11.7,7.9,"1,673",94.5,2016-17
Groton-Dunstable,06730000,"2,485",3.9,2.3,"2,429",98.4,2016-17
Hadley,01170000,592,7.9,3.0,575,94.8,2016-17
Halifax,01180000,605,4.0,2.3,594,97.8,2016-17
Hamilton-Wenham,06750000,"1,814",3.8,2.1,"1,782",98.0,2016-17
Hampden Charter School of Science (District),04990000,485,13.0,4.1,481,87.7,2016-17
Hampden-Wilbraham,06800000,"3,186",4.7,2.3,"3,120",97.4,2016-17
Hampshire,06830000,756,4.0,1.5,748,97.1,2016-17
Hancock,01210000,44,15.9,9.1,40,92.5,2016-17
Hanover,01220000,"2,663",2.2,1.4,"2,630",99.1,2016-17
Harvard,01250000,"1,161",5.5,4.0,"1,121",97.9,2016-17
Hatfield,01270000,455,4.6,3.7,443,98.0,2016-17
Haverhill,01280000,"7,889",14.1,7.4,"7,460",92.1,2016-17
Hawlemont,06850000,131,13.7,11.5,122,92.6,2016-17
Helen Y. Davis Leadership Academy Charter Public (District),04190000,232,13.8,8.6,220,90.9,2016-17
Hill View Montessori Charter Public (District),04550000,307,2.6,0.7,306,97.7,2016-17
Hilltown Cooperative Charter Public (District),04500000,220,1.8,0.9,218,99.1,2016-17
Hingham,01310000,"4,388",3.5,2.5,"4,320",98.1,2016-17
Holbrook,01330000,"1,218",8.9,4.7,"1,180",94.1,2016-17
