district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Abby Kelley Foster Charter Public (District),04450000,952,66.8,195,13.7,173,12.1,NA,NA,NA,NA,NA,NA,887,62.2,684,48,2020-21
Abington,00010000,298,14.1,162,7.7,340,15.8,NA,NA,NA,NA,NA,NA,889,41.4,628,29.7,2020-21
Academy Of the Pacific Rim Charter Public (District),04120000,173,32,34,6.3,138,25.6,NA,NA,NA,NA,NA,NA,370,68.5,260,48.1,2020-21
Acton-Boxborough,06000000,1117,21.5,273,5.2,794,15,NA,NA,NA,NA,NA,NA,1469,27.8,422,8.1,2020-21
Acushnet,00030000,10,1.1,6,0.7,126,13.7,NA,NA,NA,NA,NA,NA,351,38,258,28.4,2020-21
Advanced Math and Science Academy Charter (District),04300000,238,24.6,13,1.3,56,5.8,NA,NA,NA,NA,NA,NA,234,24.2,100,10.4,2020-21
Agawam,00050000,438,12.5,180,5.1,607,17.1,NA,NA,NA,NA,NA,NA,1650,46.6,1227,35,2020-21
Alma del Mar Charter School (District),04090000,349,43.8,248,31.1,138,17.3,NA,NA,NA,NA,NA,NA,650,81.6,523,65.6,2020-21
Amesbury,00070000,74,4,38,2.1,419,22.2,NA,NA,NA,NA,NA,NA,793,42,524,28.3,2020-21
Amherst,00080000,300,29.2,136,13.2,228,22.1,NA,NA,NA,NA,NA,NA,519,50.3,348,33.8,2020-21
Amherst-Pelham,06050000,255,19.9,95,7.4,288,22.2,NA,NA,NA,NA,NA,NA,566,43.7,381,29.7,2020-21
Andover,00090000,965,17.3,171,3.1,1150,20.4,NA,NA,NA,NA,NA,NA,1794,31.8,549,9.8,2020-21
Argosy Collegiate Charter School (District),35090000,151,26.4,110,19.3,115,20.1,NA,NA,NA,NA,NA,NA,452,79.2,381,66.7,2020-21
Arlington,00100000,685,11.9,235,4.1,915,15.7,NA,NA,NA,NA,NA,NA,1541,26.4,524,9.1,2020-21
Ashburnham-Westminster,06100000,88,4,33,1.5,427,19.4,NA,NA,NA,NA,NA,NA,750,34,437,19.9,2020-21
Ashland,00140000,753,27.6,163,6,476,17.3,NA,NA,NA,NA,NA,NA,961,34.9,486,17.8,2020-21
Assabet Valley Regional Vocational Technical,08010000,240,20.9,57,5,287,25,NA,NA,NA,NA,NA,NA,629,54.7,380,33.1,2020-21
Athol-Royalston,06150000,77,5.4,41,2.9,348,24,NA,NA,NA,NA,NA,NA,936,64.6,790,55.4,2020-21
Atlantis Charter (District),04910000,359,27.7,183,14.1,174,13.4,NA,NA,NA,NA,NA,NA,800,61.7,654,50.5,2020-21
Attleboro,00160000,816,14.2,342,5.9,1012,17.5,NA,NA,NA,NA,NA,NA,2667,46,1899,33,2020-21
Auburn,00170000,229,9.1,56,2.2,274,10.8,NA,NA,NA,NA,NA,NA,817,32.3,559,22.2,2020-21
Avon,00180000,62,9.1,33,4.8,137,19.9,NA,NA,NA,NA,NA,NA,341,49.6,248,36.3,2020-21
Ayer Shirley School District,06160000,156,9.7,58,3.6,352,21.5,NA,NA,NA,NA,NA,NA,710,43.3,444,27.7,2020-21
Barnstable,00200000,1200,25.5,601,12.8,839,17.6,NA,NA,NA,NA,NA,NA,2737,57.5,1976,41.9,2020-21
Baystate Academy Charter Public School (District),35020000,116,24.7,41,8.7,97,20.7,NA,NA,NA,NA,NA,NA,377,80.4,343,73.1,2020-21
Bedford,00230000,481,18.4,117,4.5,456,17.2,NA,NA,NA,NA,NA,NA,822,30.9,276,10.6,2020-21
Belchertown,00240000,56,2.6,31,1.4,419,19.4,NA,NA,NA,NA,NA,NA,761,35.2,467,21.7,2020-21
Bellingham,00250000,110,5.5,48,2.4,428,21.3,NA,NA,NA,NA,NA,NA,810,40.2,492,24.8,2020-21
Belmont,00260000,1189,26.9,347,7.9,540,12,NA,NA,NA,NA,NA,NA,1324,29.3,368,8.3,2020-21
Benjamin Banneker Charter Public (District),04200000,98,28.5,15,4.4,45,13.1,NA,NA,NA,NA,NA,NA,218,63.4,193,56.1,2020-21
Benjamin Franklin Classical Charter Public (District),04470000,166,21.4,55,7.1,93,12,NA,NA,NA,NA,NA,NA,242,31.2,113,14.6,2020-21
Berkley,00270000,9,1,9,1,130,15,NA,NA,NA,NA,NA,NA,274,31.6,184,21.3,2020-21
Berkshire Arts and Technology Charter Public (District),04140000,5,1.3,5,1.3,75,20.2,NA,NA,NA,NA,NA,NA,223,59.9,184,49.5,2020-21
Berkshire Hills,06180000,113,9.7,51,4.4,215,18.2,NA,NA,NA,NA,NA,NA,522,44.2,393,33.8,2020-21
Berlin-Boylston,06200000,131,12.5,22,2.1,171,16.2,NA,NA,NA,NA,NA,NA,298,28.2,147,14.1,2020-21
Beverly,00300000,453,9.8,193,4.2,912,19.4,NA,NA,NA,NA,NA,NA,1937,41.2,1309,28.3,2020-21
Billerica,00310000,507,11.1,77,1.7,934,20.2,NA,NA,NA,NA,NA,NA,1696,36.7,963,21.1,2020-21
Blackstone Valley Regional Vocational Technical,08050000,8,0.6,5,0.4,130,10.6,NA,NA,NA,NA,NA,NA,238,19.3,128,10.4,2020-21
Blackstone-Millville,06220000,103,6.6,27,1.7,284,17.9,NA,NA,NA,NA,NA,NA,646,40.8,428,27.3,2020-21
Blue Hills Regional Vocational Technical,08060000,66,7.4,13,1.5,239,26.9,NA,NA,NA,NA,NA,NA,473,53.1,283,31.8,2020-21
Boston,00350000,23120,48.1,14025,29.2,10441,21.5,NA,NA,NA,NA,NA,NA,37913,78.2,30300,63,2020-21
Boston Collegiate Charter (District),04490000,92,12.7,32,4.4,115,15.9,NA,NA,NA,NA,NA,NA,380,52.6,280,38.7,2020-21
Boston Day and Evening Academy Charter (District),04240000,131,36.8,57,16,136,38.1,NA,NA,NA,NA,NA,NA,300,84,254,71.3,2020-21
Boston Green Academy Horace Mann Charter School (District),04110000,185,36.3,86,16.9,169,33.2,NA,NA,NA,NA,NA,NA,424,83.3,367,72.1,2020-21
Boston Preparatory Charter Public (District),04160000,227,33.8,129,19.2,136,20.3,NA,NA,NA,NA,NA,NA,531,79.1,405,60.4,2020-21
Boston Renaissance Charter Public (District),04810000,251,26.6,109,11.6,100,10.6,NA,NA,NA,NA,NA,NA,668,70.8,587,62.2,2020-21
Bourne,00360000,32,1.9,17,1,305,18.3,NA,NA,NA,NA,NA,NA,694,41.7,506,30.7,2020-21
Boxford,00380000,11,1.6,9,1.3,129,18.9,NA,NA,NA,NA,NA,NA,172,25.1,50,7.4,2020-21
Braintree,00400000,1079,19.8,332,6.1,1102,19.9,NA,NA,NA,NA,NA,NA,2321,42,1194,21.9,2020-21
Brewster,00410000,22,5.2,18,4.3,81,19.2,NA,NA,NA,NA,NA,NA,173,41,131,31.2,2020-21
Bridge Boston Charter School (District),04170000,152,45,93,27.5,74,21.9,NA,NA,NA,NA,NA,NA,282,83.4,232,68.6,2020-21
Bridgewater-Raynham,06250000,307,5.8,149,2.8,864,16.3,NA,NA,NA,NA,NA,NA,1745,32.9,1079,20.5,2020-21
Brimfield,00430000,3,1.1,3,1.1,43,15.9,NA,NA,NA,NA,NA,NA,98,36.3,64,23.8,2020-21
Bristol County Agricultural,09100000,0,0,0,0,66,14.7,NA,NA,NA,NA,NA,NA,164,36.6,114,25.4,2020-21
Bristol-Plymouth Regional Vocational Technical,08100000,27,2,4,0.3,226,17.1,NA,NA,NA,NA,NA,NA,544,41.2,385,29.2,2020-21
Brockton,00440000,6869,44.7,3976,25.8,2678,17.3,NA,NA,NA,NA,NA,NA,12056,77.9,10081,65.5,2020-21
Brooke Charter School (District),04280000,707,34.4,143,7,229,11.2,NA,NA,NA,NA,NA,NA,1357,66.1,1116,54.4,2020-21
Brookfield,00450000,2,0.8,1,0.4,32,12,NA,NA,NA,NA,NA,NA,96,36.1,77,28.9,2020-21
Brookline,00460000,2006,29.1,649,9.4,1183,17,NA,NA,NA,NA,NA,NA,2462,35.4,747,10.8,2020-21
Burlington,00480000,692,20.4,171,5,493,14.2,NA,NA,NA,NA,NA,NA,1072,30.9,515,15.2,2020-21
Cambridge,00490000,1845,27.6,392,5.9,1574,23.1,NA,NA,NA,NA,NA,NA,3289,48.2,2101,31.5,2020-21
Canton,00500000,230,7.3,71,2.2,413,12.9,NA,NA,NA,NA,NA,NA,947,29.5,537,17,2020-21
Cape Cod Lighthouse Charter (District),04320000,15,6,1,0.4,44,17.6,NA,NA,NA,NA,NA,NA,85,34,45,18,2020-21
Cape Cod Regional Vocational Technical,08150000,31,5,14,2.2,166,26.5,NA,NA,NA,NA,NA,NA,393,62.8,292,46.6,2020-21
Carlisle,00510000,28,4.8,11,1.9,101,17.2,NA,NA,NA,NA,NA,NA,145,24.7,28,4.8,2020-21
Carver,00520000,22,1.5,21,1.4,288,19.3,NA,NA,NA,NA,NA,NA,575,38.5,376,25.5,2020-21
Central Berkshire,06350000,14,0.9,8,0.5,232,15.2,NA,NA,NA,NA,NA,NA,667,43.8,560,37,2020-21
Chelmsford,00560000,1006,20.8,205,4.2,813,16.6,NA,NA,NA,NA,NA,NA,1527,31.2,711,14.7,2020-21
Chelsea,00570000,4952,83.4,2118,35.7,1017,16.7,NA,NA,NA,NA,NA,NA,5232,85.8,4191,70.6,2020-21
Chesterfield-Goshen,06320000,0,0,0,0,24,23.8,NA,NA,NA,NA,NA,NA,46,45.5,27,26.7,2020-21
Chicopee,00610000,912,13.3,392,5.7,1301,18.9,NA,NA,NA,NA,NA,NA,4570,66.5,4035,58.9,2020-21
Christa McAuliffe Charter Public (District),04180000,100,25.1,17,4.3,77,19.3,NA,NA,NA,NA,NA,NA,219,54.9,149,37.3,2020-21
City on a Hill Charter Public School Circuit Street (District),04370000,103,34.4,70,23.4,65,21.7,NA,NA,NA,NA,NA,NA,251,83.9,207,69.2,2020-21
Clarksburg,00630000,0,0,0,0,35,18.4,NA,NA,NA,NA,NA,NA,76,40,57,30,2020-21
Clinton,00640000,506,27.7,245,13.4,424,22.8,NA,NA,NA,NA,NA,NA,1098,59,798,43.7,2020-21
Codman Academy Charter Public (District),04380000,76,21.8,36,10.3,86,24.7,NA,NA,NA,NA,NA,NA,268,77,234,67.2,2020-21
Cohasset,00650000,8,0.6,1,0.1,192,13.1,NA,NA,NA,NA,NA,NA,263,17.9,83,5.7,2020-21
Collegiate Charter School of Lowell (District),35030000,393,38.7,232,22.9,59,5.8,NA,NA,NA,NA,NA,NA,693,68.3,533,52.5,2020-21
Community Charter School of Cambridge (District),04360000,137,45.1,18,5.9,44,14.5,NA,NA,NA,NA,NA,NA,174,57.2,138,45.4,2020-21
Community Day Charter Public School - Gateway (District),04260000,229,57.3,78,19.5,46,11.5,NA,NA,NA,NA,NA,NA,332,83,259,64.8,2020-21
Community Day Charter Public School - Prospect (District),04400000,247,61.9,96,24.1,49,12.3,NA,NA,NA,NA,NA,NA,321,80.5,250,62.7,2020-21
Community Day Charter Public School - R. Kingman Webster (District),04310000,209,52.3,83,20.8,43,10.8,NA,NA,NA,NA,NA,NA,314,78.5,241,60.3,2020-21
Concord,00670000,167,8.3,47,2.3,352,17.4,NA,NA,NA,NA,NA,NA,525,25.9,169,8.4,2020-21
Concord-Carlisle,06400000,69,5.2,4,0.3,241,17.9,NA,NA,NA,NA,NA,NA,312,23.2,102,7.8,2020-21
Conservatory Lab Charter (District),04390000,88,19.3,70,15.3,58,12.7,NA,NA,NA,NA,NA,NA,326,71.3,276,60.4,2020-21
Conway,00680000,0,0,0,0,21,16.8,NA,NA,NA,NA,NA,NA,42,33.6,32,25.6,2020-21
Danvers,00710000,156,4.7,44,1.3,623,18.5,NA,NA,NA,NA,NA,NA,1175,34.9,685,20.7,2020-21
Dartmouth,00720000,90,2.6,54,1.6,593,17.1,NA,NA,NA,NA,NA,NA,1315,38,876,25.6,2020-21
Dedham,00730000,342,13.4,140,5.5,568,21.9,NA,NA,NA,NA,NA,NA,1094,42.1,635,24.8,2020-21
Deerfield,00740000,6,1.9,5,1.6,71,22.8,NA,NA,NA,NA,NA,NA,108,34.7,69,22.2,2020-21
Dennis-Yarmouth,06450000,543,19.8,316,11.5,497,17.9,NA,NA,NA,NA,NA,NA,1675,60.3,1315,48,2020-21
Dighton-Rehoboth,06500000,32,1.2,10,0.4,402,15.3,NA,NA,NA,NA,NA,NA,752,28.5,463,17.7,2020-21
Douglas,00770000,11,1,8,0.7,219,18.8,NA,NA,NA,NA,NA,NA,375,32.2,216,18.8,2020-21
Dover,00780000,36,7.6,11,2.3,66,13.8,NA,NA,NA,NA,NA,NA,95,19.8,10,2.1,2020-21
Dover-Sherborn,06550000,73,6.2,3,0.3,207,17,NA,NA,NA,NA,NA,NA,251,20.6,44,3.7,2020-21
Dracut,00790000,143,3.9,63,1.7,588,15.9,NA,NA,NA,NA,NA,NA,1490,40.2,1049,28.7,2020-21
Dudley Street Neighborhood Charter School (District),04070000,97,33,82,27.9,36,12.2,NA,NA,NA,NA,NA,NA,251,85.4,214,72.8,2020-21
Dudley-Charlton Reg,06580000,287,8.3,121,3.5,557,16.1,NA,NA,NA,NA,NA,NA,1289,37.2,880,25.6,2020-21
Duxbury,00820000,60,2.2,9,0.3,414,14.7,NA,NA,NA,NA,NA,NA,569,20.2,187,6.7,2020-21
East Bridgewater,00830000,27,1.3,16,0.8,366,17.4,NA,NA,NA,NA,NA,NA,740,35.2,465,22.3,2020-21
East Longmeadow,00870000,181,7.5,39,1.6,450,18.4,NA,NA,NA,NA,NA,NA,885,36.2,546,22.7,2020-21
Eastham,00850000,19,9.8,9,4.6,35,18,NA,NA,NA,NA,NA,NA,95,49,72,37.1,2020-21
Easthampton,00860000,95,6.6,47,3.3,281,19.2,NA,NA,NA,NA,NA,NA,672,45.9,513,35.5,2020-21
Easton,00880000,184,5.4,52,1.5,662,19.2,NA,NA,NA,NA,NA,NA,1091,31.7,570,16.7,2020-21
Edgartown,00890000,147,38.5,81,21.2,83,21.7,NA,NA,NA,NA,NA,NA,231,60.3,143,37.4,2020-21
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,207,53.8,47,12.2,78,20.3,NA,NA,NA,NA,NA,NA,317,82.3,272,70.6,2020-21
Erving,00910000,2,1.8,2,1.8,23,20.2,NA,NA,NA,NA,NA,NA,52,45.6,32,28.3,2020-21
Essex North Shore Agricultural and Technical School District,08170000,102,6.5,5,0.3,282,18,NA,NA,NA,NA,NA,NA,533,34.1,300,19.2,2020-21
Everett,00930000,4557,66.2,1868,27.1,1265,18.1,NA,NA,NA,NA,NA,NA,5389,77.2,4205,61.1,2020-21
Excel Academy Charter (District),04100000,796,57.3,118,8.5,261,18.8,NA,NA,NA,NA,NA,NA,1008,72.6,747,53.8,2020-21
Fairhaven,00940000,74,3.9,27,1.4,322,16.6,NA,NA,NA,NA,NA,NA,822,42.4,634,33.1,2020-21
Fall River,00950000,2830,28.3,1762,17.6,2325,23,NA,NA,NA,NA,NA,NA,8189,81,7381,73.8,2020-21
Falmouth,00960000,231,7.6,122,4,586,19.1,NA,NA,NA,NA,NA,NA,1388,45.3,1018,33.6,2020-21
Farmington River Reg,06620000,0,0,0,0,25,23.4,NA,NA,NA,NA,NA,NA,52,48.6,41,38.3,2020-21
Fitchburg,00970000,1912,37.4,802,15.7,1269,24.2,NA,NA,NA,NA,NA,NA,3967,75.6,3398,66.4,2020-21
Florida,00980000,0,0,0,0,18,22.5,NA,NA,NA,NA,NA,NA,38,47.5,27,33.8,2020-21
Four Rivers Charter Public (District),04130000,2,0.9,0,0,31,14.4,NA,NA,NA,NA,NA,NA,80,37.2,60,27.9,2020-21
Foxborough,00990000,115,4.7,59,2.4,502,20.2,NA,NA,NA,NA,NA,NA,866,34.9,449,18.3,2020-21
Foxborough Regional Charter (District),04460000,304,17.7,124,7.2,174,10.2,NA,NA,NA,NA,NA,NA,779,45.4,522,30.5,2020-21
Framingham,01000000,4228,48.4,2288,26.2,1940,21.7,NA,NA,NA,NA,NA,NA,5710,63.8,3918,44.9,2020-21
Francis W. Parker Charter Essential (District),04780000,10,2.5,0,0,64,16,NA,NA,NA,NA,NA,NA,94,23.6,40,10,2020-21
Franklin,01010000,313,6.5,74,1.5,892,18.2,NA,NA,NA,NA,NA,NA,1363,27.8,545,11.3,2020-21
Franklin County Regional Vocational Technical,08180000,2,0.4,1,0.2,169,30.5,NA,NA,NA,NA,NA,NA,321,57.8,230,41.4,2020-21
Freetown-Lakeville,06650000,36,1.3,14,0.5,434,15.9,NA,NA,NA,NA,NA,NA,812,29.8,512,18.9,2020-21
Frontier,06700000,23,3.5,5,0.8,115,17.5,NA,NA,NA,NA,NA,NA,216,32.8,137,21.1,2020-21
Gardner,01030000,220,10,110,5,502,22.5,NA,NA,NA,NA,NA,NA,1456,65.4,1253,56.7,2020-21
Gateway,06720000,32,4.2,18,2.4,163,21.6,NA,NA,NA,NA,NA,NA,381,50.4,290,38.5,2020-21
Georgetown,01050000,18,1.5,0,0,213,17.2,NA,NA,NA,NA,NA,NA,315,25.5,135,11.1,2020-21
Gill-Montague,06740000,89,10.5,64,7.6,209,24.5,NA,NA,NA,NA,NA,NA,531,62.3,434,51.3,2020-21
Global Learning Charter Public (District),04960000,207,41.2,45,8.9,62,12.3,NA,NA,NA,NA,NA,NA,364,72.4,292,58.1,2020-21
Gloucester,01070000,326,11.8,219,7.9,718,25.5,NA,NA,NA,NA,NA,NA,1556,55.3,1127,40.7,2020-21
Gosnold,01090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21
Grafton,01100000,118,3.8,63,2,633,20.1,NA,NA,NA,NA,NA,NA,987,31.3,468,15,2020-21
Granby,01110000,56,7.8,39,5.4,137,19,NA,NA,NA,NA,NA,NA,315,43.6,233,32.5,2020-21
Greater Fall River Regional Vocational Technical,08210000,108,7.4,25,1.7,159,11,NA,NA,NA,NA,NA,NA,690,47.5,590,40.6,2020-21
Greater Lawrence Regional Vocational Technical,08230000,717,43.9,153,9.4,268,16.4,NA,NA,NA,NA,NA,NA,1199,73.4,994,60.8,2020-21
Greater Lowell Regional Vocational Technical,08280000,596,26,218,9.5,398,17.3,NA,NA,NA,NA,NA,NA,1453,63.3,1109,48.3,2020-21
Greater New Bedford Regional Vocational Technical,08250000,420,19.9,88,4.2,217,10.3,NA,NA,NA,NA,NA,NA,1117,52.9,896,42.4,2020-21
Greenfield,01140000,136,8.8,80,5.2,308,19.5,NA,NA,NA,NA,NA,NA,979,62.1,853,55.2,2020-21
Greenfield Commonwealth Virtual District,39010000,67,7.1,25,2.7,198,21,NA,NA,NA,NA,NA,NA,578,61.3,498,52.8,2020-21
Groton-Dunstable,06730000,51,2.3,23,1,372,16.3,NA,NA,NA,NA,NA,NA,540,23.7,181,8,2020-21
Hadley,01170000,31,6.1,20,4,69,13.5,NA,NA,NA,NA,NA,NA,168,32.9,117,23.1,2020-21
Halifax,01180000,11,1.9,9,1.6,103,17.6,NA,NA,NA,NA,NA,NA,209,35.7,125,22,2020-21
Hamilton-Wenham,06750000,33,2,13,0.8,329,19,NA,NA,NA,NA,NA,NA,416,24,123,7.3,2020-21
Hampden Charter School of Science East (District),04990000,38,7,28,5.2,73,13.5,NA,NA,NA,NA,NA,NA,324,60,283,52.4,2020-21
Hampden Charter School of Science West (District),35160000,36,11.3,25,7.8,53,16.6,NA,NA,NA,NA,NA,NA,195,60.9,164,51.3,2020-21
Hampden-Wilbraham,06800000,92,3.2,36,1.3,444,15.4,NA,NA,NA,NA,NA,NA,901,31.2,579,20.2,2020-21
Hampshire,06830000,21,3.1,10,1.5,161,23.1,NA,NA,NA,NA,NA,NA,241,34.6,125,18.3,2020-21
Hancock,01210000,1,1.8,0,0,15,26.3,NA,NA,NA,NA,NA,NA,25,43.9,16,28.1,2020-21
Hanover,01220000,88,3.4,27,1,486,18.4,NA,NA,NA,NA,NA,NA,683,25.9,243,9.3,2020-21
Harvard,01250000,54,5.4,6,0.6,114,11.1,NA,NA,NA,NA,NA,NA,193,18.8,82,8.2,2020-21
Hatfield,01270000,4,1,1,0.3,84,21,NA,NA,NA,NA,NA,NA,127,31.8,59,14.9,2020-21
Haverhill,01280000,1310,16.9,745,9.6,1825,23.3,NA,NA,NA,NA,NA,NA,5093,64.9,4165,53.6,2020-21
Hawlemont,06850000,5,4.2,5,4.2,33,28,NA,NA,NA,NA,NA,NA,70,59.3,60,50.8,2020-21
Helen Y. Davis Leadership Academy Charter Public (District),04190000,18,9.3,8,4.1,32,16.6,NA,NA,NA,NA,NA,NA,144,74.6,126,65.3,2020-21
Hill View Montessori Charter Public (District),04550000,36,11.9,18,5.9,58,19.1,NA,NA,NA,NA,NA,NA,150,49.5,95,31.4,2020-21
Hilltown Cooperative Charter Public (District),04500000,3,1.4,0,0,33,15.1,NA,NA,NA,NA,NA,NA,56,25.7,35,16.1,2020-21
Hingham,01310000,72,1.8,12,0.3,536,13.6,NA,NA,NA,NA,NA,NA,724,18.4,250,6.4,2020-21
Holbrook,01330000,255,20.1,69,5.4,250,19.2,NA,NA,NA,NA,NA,NA,663,51,434,34.2,2020-21
Holland,01350000,0,0,0,0,27,13.8,NA,NA,NA,NA,NA,NA,80,40.8,63,32.5,2020-21
Holliston,01360000,318,11.5,68,2.5,466,16.7,NA,NA,NA,NA,NA,NA,705,25.3,232,8.4,2020-21
Holyoke,01370000,2005,38.9,1040,20.2,1460,27.9,NA,NA,NA,NA,NA,NA,4514,86.1,4193,81.4,2020-21
Holyoke Community Charter (District),04530000,226,32.2,88,12.5,140,19.9,NA,NA,NA,NA,NA,NA,566,80.6,517,73.6,2020-21
Hoosac Valley Regional,06030000,16,1.5,12,1.2,248,23.9,NA,NA,NA,NA,NA,NA,633,61,553,53.4,2020-21
Hopedale,01380000,89,8.1,41,3.7,233,20.9,NA,NA,NA,NA,NA,NA,365,32.7,188,17.1,2020-21
Hopkinton,01390000,645,16.4,262,6.7,480,12.1,NA,NA,NA,NA,NA,NA,1031,26,253,6.4,2020-21
Hudson,01410000,664,27.5,310,12.8,432,17.6,NA,NA,NA,NA,NA,NA,1125,45.9,697,28.8,2020-21
Hull,01420000,15,1.9,10,1.2,173,21.2,NA,NA,NA,NA,NA,NA,371,45.5,264,32.9,2020-21
Innovation Academy Charter (District),04350000,74,9.4,19,2.4,166,21,NA,NA,NA,NA,NA,NA,300,38,140,17.7,2020-21
Ipswich,01440000,88,5.5,37,2.3,292,18,NA,NA,NA,NA,NA,NA,485,30,263,16.5,2020-21
King Philip,06900000,33,1.7,8,0.4,339,17.1,NA,NA,NA,NA,NA,NA,499,25.2,221,11.4,2020-21
Kingston,01450000,33,3.2,27,2.6,191,18.1,NA,NA,NA,NA,NA,NA,350,33.1,203,19.6,2020-21
KIPP Academy Boston Charter School (District),04630000,293,47.8,103,16.8,99,16.2,NA,NA,NA,NA,NA,NA,505,82.4,436,71.1,2020-21
KIPP Academy Lynn Charter (District),04290000,1302,80.6,195,12.1,185,11.5,NA,NA,NA,NA,NA,NA,1178,72.9,932,57.7,2020-21
Lawrence,01490000,9288,72.3,4427,34.5,2521,19.5,NA,NA,NA,NA,NA,NA,11521,89,10081,78.5,2020-21
Lawrence Family Development Charter (District),04540000,606,77.1,178,22.6,64,8.1,NA,NA,NA,NA,NA,NA,639,81.3,523,66.5,2020-21
Learning First Charter Public School (District),04860000,349,52.5,173,26,92,13.8,NA,NA,NA,NA,NA,NA,555,83.5,467,70.2,2020-21
Lee,01500000,51,7.5,29,4.2,106,15.5,NA,NA,NA,NA,NA,NA,324,47.2,261,38.2,2020-21
Leicester,01510000,123,9,50,3.6,253,18.1,NA,NA,NA,NA,NA,NA,599,42.9,414,30.1,2020-21
Lenox,01520000,61,8.1,20,2.7,69,9.2,NA,NA,NA,NA,NA,NA,206,27.4,137,18.3,2020-21
Leominster,01530000,1657,28.3,689,11.8,1418,23.8,NA,NA,NA,NA,NA,NA,3632,61,2733,46.6,2020-21
Leverett,01540000,0,0,0,0,11,9.5,NA,NA,NA,NA,NA,NA,28,24.1,21,18.1,2020-21
Lexington,01550000,2307,33.4,560,8.1,979,14,NA,NA,NA,NA,NA,NA,2140,30.6,462,6.7,2020-21
Libertas Academy Charter School (District),35140000,118,45.4,96,36.9,52,20,NA,NA,NA,NA,NA,NA,231,88.8,211,81.2,2020-21
Lincoln,01570000,111,10.6,47,4.5,189,17.6,NA,NA,NA,NA,NA,NA,312,29.1,89,8.5,2020-21
Lincoln-Sudbury,06950000,65,4.3,12,0.8,342,21.7,NA,NA,NA,NA,NA,NA,421,26.7,114,7.5,2020-21
Littleton,01580000,111,7.1,27,1.7,235,14.9,NA,NA,NA,NA,NA,NA,382,24.2,135,8.7,2020-21
Longmeadow,01590000,180,6.5,10,0.4,502,18.1,NA,NA,NA,NA,NA,NA,733,26.4,287,10.4,2020-21
Lowell,01600000,4750,33.9,3363,24,2582,18.3,NA,NA,NA,NA,NA,NA,10864,76.9,8875,63.3,2020-21
Lowell Community Charter Public (District),04560000,598,74.5,436,54.3,137,17.1,NA,NA,NA,NA,NA,NA,651,81.1,456,56.8,2020-21
Lowell Middlesex Academy Charter (District),04580000,8,9.1,4,4.5,31,35.2,NA,NA,NA,NA,NA,NA,67,76.1,59,67,2020-21
Ludlow,01610000,218,9.1,89,3.7,412,17.1,NA,NA,NA,NA,NA,NA,1013,42.2,755,31.7,2020-21
Lunenburg,01620000,66,4.1,17,1.1,261,16.3,NA,NA,NA,NA,NA,NA,516,32.1,329,20.7,2020-21
Lynn,01630000,9557,61.3,4907,31.5,2787,17.7,NA,NA,NA,NA,NA,NA,12521,79.5,10154,65.1,2020-21
Lynnfield,01640000,180,8.3,51,2.4,378,17.3,NA,NA,NA,NA,NA,NA,578,26.4,204,9.4,2020-21
Ma Academy for Math and Science,04680000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,3.1,2,2,2020-21
Malden,01650000,3474,56.8,1137,18.6,1089,17.6,NA,NA,NA,NA,NA,NA,4323,69.8,3174,51.9,2020-21
Manchester Essex Regional,06980000,28,2.2,8,0.6,230,18,NA,NA,NA,NA,NA,NA,346,27,142,11.2,2020-21
Mansfield,01670000,237,6.8,60,1.7,559,15.8,NA,NA,NA,NA,NA,NA,1037,29.3,593,16.9,2020-21
Map Academy Charter School (District),35170000,0,0,0,0,98,47.6,NA,NA,NA,NA,NA,NA,151,73.3,117,56.8,2020-21
Marblehead,01680000,210,7.8,118,4.4,617,22.5,NA,NA,NA,NA,NA,NA,881,32.1,305,11.3,2020-21
Marblehead Community Charter Public (District),04640000,18,8.7,18,8.7,50,24,NA,NA,NA,NA,NA,NA,97,46.6,36,17.3,2020-21
Marion,01690000,2,0.5,1,0.3,83,20.6,NA,NA,NA,NA,NA,NA,156,38.8,96,24.2,2020-21
Marlborough,01700000,2439,52.1,1120,23.9,818,17.3,NA,NA,NA,NA,NA,NA,3137,66.3,2125,45.4,2020-21
Marshfield,01710000,120,3.2,46,1.2,718,18.9,NA,NA,NA,NA,NA,NA,1107,29.2,531,14.1,2020-21
Martha's Vineyard,07000000,160,23.2,82,11.9,159,22.7,NA,NA,NA,NA,NA,NA,380,54.3,235,34.1,2020-21
Martha's Vineyard Charter (District),04660000,10,5.7,10,5.7,45,25.6,NA,NA,NA,NA,NA,NA,95,54,66,37.5,2020-21
Martin Luther King Jr. Charter School of Excellence (District),04920000,113,31,95,26,45,12.3,NA,NA,NA,NA,NA,NA,318,87.1,286,78.4,2020-21
Masconomet,07050000,17,1,3,0.2,321,18.6,NA,NA,NA,NA,NA,NA,433,25.1,140,8.3,2020-21
