district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Lowell Middlesex Academy Charter (District),04580000,10,12.2,8,9.8,23,28,NA,NA,NA,NA,NA,NA,57,69.5,48,58.5,2018-19
Ludlow,01610000,222,8.6,74,2.9,412,15.7,NA,NA,NA,NA,NA,NA,1007,38.5,711,27.4,2018-19
Lunenburg,01620000,53,3.2,24,1.5,277,16.7,NA,NA,NA,NA,NA,NA,490,29.5,276,16.7,2018-19
Lynn,01630000,8598,54.6,3934,25,2628,16.5,NA,NA,NA,NA,NA,NA,11725,73.7,8936,56.7,2018-19
Lynnfield,01640000,163,7.4,47,2.1,394,17.7,NA,NA,NA,NA,NA,NA,557,25,158,7.2,2018-19
Ma Academy for Math and Science,04680000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,2,2,2,2018-19
Malden,01650000,3621,55.2,1304,19.9,1113,16.8,NA,NA,NA,NA,NA,NA,4503,67.8,2857,43.5,2018-19
Manchester Essex Regional,06980000,30,2.2,5,0.4,127,9,NA,NA,NA,NA,NA,NA,239,17,108,7.8,2018-19
Mansfield,01670000,231,6.1,68,1.8,604,15.8,NA,NA,NA,NA,NA,NA,1023,26.8,507,13.4,2018-19
Map Academy Charter School (District),35170000,1,0.8,0,0,49,37.7,NA,NA,NA,NA,NA,NA,84,64.6,65,50,2018-19
Marblehead,01680000,217,7.1,121,4,597,19.3,NA,NA,NA,NA,NA,NA,870,28.1,288,9.4,2018-19
Marblehead Community Charter Public (District),04640000,3,1.3,3,1.3,57,25.2,NA,NA,NA,NA,NA,NA,80,35.4,27,11.9,2018-19
Marion,01690000,5,1.1,3,0.7,94,20.8,NA,NA,NA,NA,NA,NA,153,33.8,84,18.8,2018-19
Marlborough,01700000,2271,48.8,1100,23.6,797,16.9,NA,NA,NA,NA,NA,NA,2876,61.1,1623,34.9,2018-19
Marshfield,01710000,102,2.5,44,1.1,698,17,NA,NA,NA,NA,NA,NA,1083,26.4,481,11.8,2018-19
Martha's Vineyard,07000000,97,15.1,65,10.1,131,20.2,NA,NA,NA,NA,NA,NA,295,45.5,155,24.1,2018-19
Martha's Vineyard Charter (District),04660000,9,4.9,8,4.4,42,23.1,NA,NA,NA,NA,NA,NA,94,51.6,53,29.1,2018-19
Martin Luther King Jr. Charter School of Excellence (District),04920000,93,25,90,24.2,70,18.8,NA,NA,NA,NA,NA,NA,299,80.4,271,72.8,2018-19
Masconomet,07050000,20,1.1,8,0.4,337,18.5,NA,NA,NA,NA,NA,NA,426,23.3,100,5.6,2018-19
Mashpee,01720000,119,7.4,54,3.3,269,16.5,NA,NA,NA,NA,NA,NA,703,43,481,29.8,2018-19
MATCH Charter Public School (District),04690000,751,61.7,326,26.8,277,22.7,NA,NA,NA,NA,NA,NA,995,81.7,715,58.7,2018-19
Mattapoisett,01730000,5,1.1,3,0.7,75,16.7,NA,NA,NA,NA,NA,NA,126,28.1,71,16.1,2018-19
Maynard,01740000,130,9.6,66,4.9,234,17,NA,NA,NA,NA,NA,NA,452,32.9,239,17.7,2018-19
Medfield,01750000,76,2.9,30,1.2,325,12.4,NA,NA,NA,NA,NA,NA,448,17.1,129,5,2018-19
Medford,01760000,1083,25.6,447,10.6,803,18.8,NA,NA,NA,NA,NA,NA,2067,48.4,1222,28.9,2018-19
Medway,01770000,43,1.9,28,1.3,374,16.6,NA,NA,NA,NA,NA,NA,555,24.6,224,10.1,2018-19
Melrose,01780000,509,12.9,182,4.6,575,14.4,NA,NA,NA,NA,NA,NA,1057,26.5,413,10.5,2018-19
Mendon-Upton,07100000,95,4.1,38,1.7,353,15.2,NA,NA,NA,NA,NA,NA,551,23.7,210,9.1,2018-19
Methuen,01810000,1905,27.5,651,9.4,1314,18.6,NA,NA,NA,NA,NA,NA,3589,50.8,2389,34.5,2018-19
Middleborough,01820000,61,2,31,1,589,19.6,NA,NA,NA,NA,NA,NA,1235,41.1,863,29,2018-19
Middleton,01840000,14,2,7,1,118,16.7,NA,NA,NA,NA,NA,NA,165,23.4,53,7.6,2018-19
Milford,01850000,1422,33.2,697,16.3,664,15.4,NA,NA,NA,NA,NA,NA,2243,51.9,1421,33.2,2018-19
Millbury,01860000,138,8.2,75,4.4,277,16.1,NA,NA,NA,NA,NA,NA,703,40.9,446,26.4,2018-19
Millis,01870000,26,2.1,14,1.1,165,13.3,NA,NA,NA,NA,NA,NA,298,24.1,144,11.8,2018-19
Milton,01890000,381,8.9,76,1.8,626,14.5,NA,NA,NA,NA,NA,NA,1017,23.5,381,8.9,2018-19
Minuteman Regional Vocational Technical,08300000,38,7.4,11,2.1,241,46.8,NA,NA,NA,NA,NA,NA,296,57.5,109,21.2,2018-19
Mohawk Trail,07170000,8,0.9,3,0.3,200,21.9,NA,NA,NA,NA,NA,NA,426,46.7,313,34.6,2018-19
Monomoy Regional School District,07120000,171,9,80,4.2,298,15.7,NA,NA,NA,NA,NA,NA,737,38.7,479,25.3,2018-19
Monson,01910000,25,2.7,10,1.1,144,15.5,NA,NA,NA,NA,NA,NA,340,36.6,247,26.9,2018-19
Montachusett Regional Vocational Technical,08320000,75,5.3,8,0.6,210,14.8,NA,NA,NA,NA,NA,NA,507,35.7,338,23.8,2018-19
Mount Greylock,07150000,6,0.5,3,0.3,183,15.2,NA,NA,NA,NA,NA,NA,333,27.7,214,17.9,2018-19
Mystic Valley Regional Charter (District),04700000,644,40.9,37,2.3,195,12.4,NA,NA,NA,NA,NA,NA,506,32.1,301,19.1,2018-19
Nahant,01960000,1,0.7,0,0,37,24.5,NA,NA,NA,NA,NA,NA,52,34.4,26,17.2,2018-19
Nantucket,01970000,571,34.2,283,16.9,238,14.2,NA,NA,NA,NA,NA,NA,758,45.3,363,21.7,2018-19
Narragansett,07200000,14,1,5,0.4,263,18.2,NA,NA,NA,NA,NA,NA,573,39.7,407,28.5,2018-19
Nashoba,07250000,122,3.8,67,2.1,528,16.2,NA,NA,NA,NA,NA,NA,754,23.2,252,7.8,2018-19
Nashoba Valley Regional Vocational Technical,08520000,10,1.5,5,0.7,251,36.7,NA,NA,NA,NA,NA,NA,324,47.4,124,18.1,2018-19
Natick,01980000,612,11,200,3.6,793,14.2,NA,NA,NA,NA,NA,NA,1355,24.2,502,9.1,2018-19
Nauset,06600000,50,3.3,15,1,246,16.1,NA,NA,NA,NA,NA,NA,486,31.8,280,18.6,2018-19
Needham,01990000,551,9.6,165,2.9,995,17.2,NA,NA,NA,NA,NA,NA,1406,24.2,305,5.3,2018-19
